1 - 600 x 400,1 - 6000 x 4000,1 - 60000 x 40000,1 - 600000 x 400000,2 - 600 x 400,2 - 6000 x 4000,2 - 60000 x 40000,2 - 600000 x 400000,4 - 600 x 400,4 - 6000 x 4000,4 - 60000 x 40000,4 - 600000 x 400000,8 - 600 x 400,8 - 6000 x 4000,8 - 60000 x 40000,8 - 600000 x 400000,16 - 600 x 400,16 - 6000 x 4000,16 - 60000 x 40000,16 - 600000 x 400000,32 - 600 x 400,32 - 6000 x 4000,32 - 60000 x 40000,32 - 600000 x 400000,64 - 600 x 400,64 - 6000 x 4000,64 - 60000 x 40000,64 - 600000 x 400000,128 - 600 x 400,128 - 6000 x 4000,128 - 60000 x 40000,128 - 600000 x 400000,256 - 600 x 400,256 - 6000 x 4000,256 - 60000 x 40000,256 - 600000 x 400000,512 - 600 x 400,512 - 6000 x 4000,512 - 60000 x 40000,512 - 600000 x 400000,1024 - 600 x 400,1024 - 6000 x 4000,1024 - 60000 x 40000,1024 - 600000 x 400000,2048 - 600 x 400,2048 - 6000 x 4000,2048 - 60000 x 40000,2048 - 600000 x 400000,
0.5108s,50.6163s,0.0000s,0.0000s,0.2560s,25.4921s,0.0001s,0.0001s,0.2326s,23.1845s,0.0001s,0.0018s,0.2352s,22.3055s,0.0003s,0.0003s,0.2183s,21.7490s,0.0006s,0.0005s,0.2184s,21.5849s,0.0010s,0.0010s,0.2199s,21.5343s,0.0019s,0.0020s,0.2201s,21.5033s,0.0036s,0.0036s,0.2230s,21.5140s,0.0086s,0.0070s,0.2310s,21.5276s,0.0170s,0.0171s,0.2456s,21.6063s,0.0332s,0.0315s,0.2697s,21.6346s,0.0578s,0.0603s,
0.5115s,51.0761s,0.0000s,0.0000s,0.2569s,25.5437s,0.0001s,0.0001s,0.2325s,23.0979s,0.0019s,0.0001s,0.2317s,22.2360s,0.0003s,0.0003s,0.2203s,21.5376s,0.0005s,0.0005s,0.2195s,21.5436s,0.0009s,0.0010s,0.2176s,21.4961s,0.0018s,0.0020s,0.2210s,21.5116s,0.0040s,0.0039s,0.2239s,21.5158s,0.0082s,0.0069s,0.2307s,21.5215s,0.0168s,0.0165s,0.2395s,21.5396s,0.0338s,0.0314s,0.2698s,21.5665s,0.0623s,0.0603s,
0.5104s,50.8027s,0.0000s,0.0000s,0.2774s,25.5132s,0.0001s,0.0001s,0.2405s,23.1385s,0.0001s,0.0001s,0.2461s,21.9620s,0.0002s,0.0003s,0.2216s,21.5912s,0.0005s,0.0005s,0.2210s,21.6252s,0.0010s,0.0010s,0.2192s,21.5794s,0.0019s,0.0019s,0.2201s,21.5076s,0.0039s,0.0039s,0.2375s,21.5260s,0.0084s,0.0079s,0.2320s,21.5984s,0.0179s,0.0162s,0.2461s,21.6089s,0.0289s,0.0296s,0.2774s,21.5757s,0.0550s,0.0595s,
0.5099s,51.0090s,0.0000s,0.0000s,0.2566s,25.5505s,0.0001s,0.0001s,0.2327s,23.5447s,0.0018s,0.0003s,0.2359s,22.1125s,0.0003s,0.0003s,0.2229s,21.6550s,0.0006s,0.0006s,0.2206s,21.6858s,0.0011s,0.0010s,0.2194s,21.5182s,0.0020s,0.0019s,0.2195s,21.5325s,0.0038s,0.0041s,0.2254s,21.6033s,0.0086s,0.0077s,0.2324s,21.6237s,0.0159s,0.0172s,0.2425s,21.5783s,0.0312s,0.0307s,0.2748s,21.5870s,0.0607s,0.0602s,
0.5083s,50.9183s,0.0000s,0.0000s,0.2593s,25.5025s,0.0001s,0.0001s,0.2328s,23.5692s,0.0020s,0.0009s,0.2481s,21.9494s,0.0003s,0.0003s,0.2265s,21.6510s,0.0005s,0.0005s,0.2217s,21.5363s,0.0010s,0.0011s,0.2186s,21.5689s,0.0020s,0.0021s,0.2204s,21.5987s,0.0038s,0.0044s,0.2256s,21.6561s,0.0080s,0.0087s,0.2294s,21.5513s,0.0173s,0.0176s,0.2462s,21.5724s,0.0315s,0.0340s,0.2722s,21.6533s,0.0619s,0.0616s,
0.5092s,50.8091s,0.0000s,0.0000s,0.2562s,25.5375s,0.0001s,0.0001s,0.2434s,23.1767s,0.0001s,0.0001s,0.2462s,21.9928s,0.0003s,0.0003s,0.2231s,21.6979s,0.0005s,0.0005s,0.2205s,21.5653s,0.0010s,0.0010s,0.2204s,21.6268s,0.0019s,0.0020s,0.2220s,21.5899s,0.0039s,0.0040s,0.2237s,21.5527s,0.0077s,0.0077s,0.2304s,21.5645s,0.0174s,0.0181s,0.2478s,21.6419s,0.0334s,0.0309s,0.2754s,21.6364s,0.0606s,0.0583s,
0.5064s,50.8346s,0.0000s,0.0000s,0.2574s,25.6301s,0.0001s,0.0001s,0.2331s,23.1326s,0.0021s,0.0001s,0.2469s,21.9431s,0.0003s,0.0002s,0.2275s,21.8004s,0.0005s,0.0005s,0.2205s,21.6374s,0.0010s,0.0011s,0.2186s,21.5289s,0.0019s,0.0019s,0.2200s,21.5341s,0.0041s,0.0041s,0.2253s,21.5880s,0.0085s,0.0075s,0.2318s,21.5967s,0.0173s,0.0181s,0.2456s,21.5622s,0.0286s,0.0316s,0.2752s,21.5901s,0.0553s,0.0613s,
0.5066s,50.8424s,0.0000s,0.0000s,0.2572s,25.5684s,0.0001s,0.0001s,0.2440s,23.1218s,0.0001s,0.0001s,0.2456s,22.2821s,0.0003s,0.0003s,0.2241s,21.6170s,0.0005s,0.0006s,0.2188s,21.4895s,0.0009s,0.0010s,0.2192s,21.5429s,0.0020s,0.0022s,0.2235s,21.5877s,0.0041s,0.0042s,0.2249s,21.6058s,0.0079s,0.0079s,0.2310s,21.5360s,0.0175s,0.0170s,0.2461s,21.6054s,0.0330s,0.0328s,0.2784s,21.6351s,0.0614s,0.0592s,
0.5076s,51.2539s,0.0000s,0.0000s,0.2568s,25.5309s,0.0001s,0.0001s,0.2399s,23.1752s,0.0001s,0.0001s,0.2453s,22.0520s,0.0003s,0.0003s,0.2210s,21.5720s,0.0005s,0.0005s,0.2190s,21.5800s,0.0010s,0.0010s,0.2193s,21.5580s,0.0019s,0.0020s,0.2226s,21.5442s,0.0038s,0.0039s,0.2243s,21.5305s,0.0083s,0.0083s,0.2318s,21.6036s,0.0175s,0.0178s,0.2458s,21.6187s,0.0328s,0.0315s,0.2712s,21.5827s,0.0628s,0.0579s,
0.5103s,51.0187s,0.0000s,0.0000s,0.2569s,25.5102s,0.0001s,0.0001s,0.2315s,23.5871s,0.0001s,0.0021s,0.2332s,22.7986s,0.0003s,0.0003s,0.2234s,22.5524s,0.0005s,0.0005s,0.2207s,21.5569s,0.0010s,0.0009s,0.2191s,21.5277s,0.0018s,0.0019s,0.2225s,21.5611s,0.0039s,0.0039s,0.2250s,21.5963s,0.0090s,0.0080s,0.2298s,21.5642s,0.0158s,0.0158s,0.2461s,21.5524s,0.0326s,0.0309s,0.2771s,21.6323s,0.0649s,0.0565s,
0.5151s,50.8220s,0.0000s,0.0000s,0.2566s,25.5482s,0.0001s,0.0001s,0.2319s,23.5885s,0.0001s,0.0003s,0.2491s,22.7134s,0.0003s,0.0003s,0.2206s,21.5777s,0.0005s,0.0005s,0.2206s,21.5424s,0.0010s,0.0009s,0.2187s,22.1200s,0.0019s,0.0019s,0.2206s,21.5675s,0.0040s,0.0040s,0.2241s,21.5259s,0.0076s,0.0083s,0.2309s,21.5824s,0.0176s,0.0173s,0.2458s,21.6077s,0.0351s,0.0329s,0.2751s,21.6139s,0.0635s,0.0616s,
0.5068s,50.9682s,0.0000s,0.0000s,0.2562s,25.5193s,0.0001s,0.0001s,0.2323s,23.1475s,0.0001s,0.0001s,0.2298s,22.2064s,0.0003s,0.0003s,0.2257s,21.6302s,0.0005s,0.0005s,0.2198s,21.6610s,0.0009s,0.0010s,0.2183s,21.6062s,0.0020s,0.0020s,0.2199s,21.5559s,0.0042s,0.0037s,0.2234s,21.5291s,0.0086s,0.0086s,0.2304s,21.5298s,0.0169s,0.0168s,0.2421s,21.5758s,0.0337s,0.0341s,0.2737s,21.6083s,0.0607s,0.0561s,
0.5118s,50.9352s,0.0000s,0.0000s,0.2572s,25.5232s,0.0001s,0.0001s,0.2340s,23.1664s,0.0002s,0.0001s,0.2291s,22.1134s,0.0003s,0.0003s,0.2281s,21.5861s,0.0005s,0.0005s,0.2223s,21.5647s,0.0009s,0.0010s,0.2195s,21.5753s,0.0020s,0.0019s,0.2220s,21.5807s,0.0037s,0.0040s,0.2242s,21.6147s,0.0084s,0.0082s,0.2323s,21.6102s,0.0172s,0.0168s,0.2464s,21.5678s,0.0285s,0.0319s,0.2773s,21.5698s,0.0605s,0.0620s,
0.5069s,50.7983s,0.0000s,0.0000s,0.2561s,25.5227s,0.0001s,0.0001s,0.2331s,23.5936s,0.0001s,0.0036s,0.2443s,22.0401s,0.0003s,0.0003s,0.2214s,21.7189s,0.0005s,0.0005s,0.2203s,21.5411s,0.0011s,0.0010s,0.2198s,21.5019s,0.0020s,0.0019s,0.2202s,21.5261s,0.0040s,0.0039s,0.2230s,21.5397s,0.0088s,0.0086s,0.2309s,21.6015s,0.0168s,0.0165s,0.2466s,21.6290s,0.0337s,0.0321s,0.2776s,21.6358s,0.0638s,0.0587s,
0.5132s,50.8727s,0.0000s,0.0000s,0.2571s,25.5611s,0.0001s,0.0001s,0.2327s,23.5265s,0.0001s,0.0001s,0.2334s,22.0105s,0.0003s,0.0003s,0.2236s,21.6152s,0.0006s,0.0005s,0.2244s,21.5823s,0.0010s,0.0009s,0.2195s,21.5940s,0.0020s,0.0019s,0.2204s,21.5802s,0.0037s,0.0039s,0.2241s,21.5216s,0.0084s,0.0084s,0.2321s,21.5277s,0.0169s,0.0152s,0.2453s,21.5413s,0.0312s,0.0331s,0.2700s,21.6184s,0.0579s,0.0638s,
0.5079s,51.1172s,0.0000s,0.0000s,0.2763s,25.5735s,0.0001s,0.0001s,0.2427s,23.1392s,0.0001s,0.0001s,0.2286s,21.9105s,0.0003s,0.0003s,0.2295s,21.5304s,0.0005s,0.0005s,0.2200s,21.5129s,0.0010s,0.0012s,0.3328s,24.2013s,0.0020s,0.0019s,0.2218s,21.5846s,0.0038s,0.0038s,0.2251s,21.5836s,0.0087s,0.0087s,0.2319s,21.5941s,0.0170s,0.0171s,0.2456s,21.5655s,0.0328s,0.0297s,0.2643s,21.5673s,0.0595s,0.0561s,
0.5056s,50.9578s,0.0000s,0.0000s,0.2694s,25.6053s,0.0001s,0.0001s,0.2340s,23.5736s,0.0001s,0.0018s,0.2355s,22.2456s,0.0003s,0.0003s,0.2274s,21.7611s,0.0005s,0.0005s,0.2169s,21.4833s,0.0010s,0.0010s,0.2185s,21.5052s,0.0019s,0.0021s,0.2198s,21.5166s,0.0035s,0.0040s,0.2241s,21.6170s,0.0081s,0.0085s,0.2320s,21.5970s,0.0167s,0.0154s,0.2474s,21.6108s,0.0286s,0.0339s,0.2659s,21.6392s,0.0555s,0.0592s,
0.5074s,50.9907s,0.0000s,0.0000s,0.2695s,25.4941s,0.0001s,0.0001s,0.2394s,23.1495s,0.0018s,0.0001s,0.2389s,22.1126s,0.0003s,0.0003s,0.2261s,21.7076s,0.0005s,0.0006s,0.2218s,21.6171s,0.0010s,0.0010s,0.2194s,21.5819s,0.0018s,0.0019s,0.2212s,21.5265s,0.0041s,0.0038s,0.2246s,21.5303s,0.0083s,0.0081s,0.2311s,21.5317s,0.0173s,0.0170s,0.2443s,21.5870s,0.0308s,0.0339s,0.2741s,21.6419s,0.0593s,0.0592s,
0.5105s,51.0903s,0.0000s,0.0000s,0.2571s,25.5869s,0.0001s,0.0001s,0.2426s,23.5241s,0.0001s,0.0001s,0.2250s,22.0653s,0.0003s,0.0003s,0.2270s,21.5338s,0.0005s,0.0005s,0.2199s,21.6418s,0.0010s,0.0011s,0.2213s,21.5975s,0.0018s,0.0021s,0.2215s,21.5770s,0.0041s,0.0041s,0.2257s,21.5981s,0.0086s,0.0084s,0.2332s,21.5629s,0.0166s,0.0169s,0.2423s,21.5450s,0.0332s,0.0322s,0.2757s,21.5749s,0.0604s,0.0601s,
